"","id","completion","matched","check_manually"
"1",6," gewählt und meine Zweitstimme der Partei Bündnis 90/Die Grünen gegeben.","Bündnis Grünen",0
"2",7," meine Stimme der SPD gegeben und meine Zweitstimme der Grünen Party.","SPD Grünen",1
"3",15," gewählt.

Ich habe 2017 für Die Linke gewählt.","Linke",0
"4",18," gewählt.

Ich habe meine Zweitstimme der FDP gegeben.","FDP",0
"5",18," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"6",20," meine Stimme der CDU/CSU gegeben.","CDU/CSU",0
"7",22," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei [INSERT] ge","NA",0
"8",22," nicht gewählt.","nicht",1
"9",23," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"10",24,"2017 zur Bundestagswahl gewählt und meine Zweitstimme der Partei CDU/CSU ge","CDU/CSU",0
"11",29," nicht gewählt.","nicht",1
"12",30," mit meiner ersten Stimme gewählt und mit meiner zweiten Stimme die Partei CDU/CSU","CDU/CSU",0
"13",30," 2017 gewählt und meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"14",30," 2017 nicht gewählt.","nicht",1
"15",36," bei der Bundestagswahl 2017 nicht gewählt.","nicht",1
"16",36," gewählt.

Ich habe 2017 meine Zweitstimme der Partei Bündnis 90/Die","Bündnis",0
"17",37," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Bündnis 90","Bündnis",0
"18",39," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der CDU/CSU gege","CDU/CSU",0
"19",44," bei der Bundestagswahl 2017 meine Zweitstimme der AfD gegeben.","AfD",0
"20",46," meine Stimme der SPD gegeben.","SPD",0
"21",47," nicht gewählt.","nicht",1
"22",50," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei Die Linke gege","Linke",0
"23",51," gewählt.

Ich habe bei der Bundestagswahl 2017 die FDP gewählt und","FDP",0
"24",55," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
"25",55," meine Stimme der Partei CDU/CSU gegeben.","CDU/CSU",0
"26",56," gewählt.

Ich habe bei der Bundestagswahl 2017 gewählt und meine Z","NA",0
"27",59," meine Stimme abgegeben. Meine Zweitstimme habe ich der Union (CDU/CSU) ge","Union CDU/CSU",0
"28",59," meine Zweitstimme der CDU/CSU gegeben.","CDU/CSU",0
"29",64," bei der Bundestagswahl 2017 meine Erststimme der AfD und meine Zweitstimme der CDU ge","Erststimme AfD CDU",1
"30",65," bei der Bundestagswahl 2017 gewählt und meine Zweitstimme der Partei CDU/CSU","CDU/CSU",0
